CLAVE,LONGITUD,LATITUD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
DLAGU6,-0.019565738627352395,-0.24569861438296148,0.13321345154438743,-0.11571849958637359,0.07391945203533805,-0.5014099976951674,-0.20937589721716843,0.31287710576388217,-0.3590961642219933,-0.3433019336587014,-0.07041560535358217,0.26777174313766106,0.056481769398085656,0.2285135818713177
DLAGU6516,-0.04622942510248658,-0.2995581339650596,-0.25614626132442425,-0.42198931682924967,-0.1581676946972406,-0.4430706246531664,-0.10909158829439292,0.39558406034351973,-0.24171131489447842,-0.3335928593434771,-0.06927476252671293,0.47246453625385637,-0.09454909668784811,0.6015024994027778
DLAGU7,-0.05925306507908979,-0.2050434139262755,-1.3230954515472904,0.24621269940511445,0.01557995901611151,-0.12266191912400307,-0.05817473977358949,0.4334169822923553,0.08093904636049988,-0.2584999259345116,-0.12709904164253774,0.17371975452188326,0.7551965546990607,0.6691550324683041
DLAGU9,-0.060220211389522285,-0.25200868853917147,-0.3585938849733837,-0.3712525416033363,0.37787611236266183,-0.35810298434973703,-0.8284064082578224,-0.4513840351267158,0.18877148310895223,0.23013169320772922,-0.18865034548492998,-0.011803204308782058,0.11307109079228281,0.9665192439016888
DLBAJ107,-1.2468117211578884,0.07405384238015633,2.345242126266392,1.314693624604589,-1.0966909719769484,-0.05949702428194852,1.430652487074074,0.1789143094269665,-0.28572179490442545,-0.4016195248670373,-0.08204357012801788,-0.3745504509760267,-1.139193188456146,0.11803915681412049
DLBAJ108,-1.243210295159316,0.07754085318018193,0.6388699125875381,0.9261037020273937,-1.7807036990136151,0.7385667353495706,2.774297277280654,0.1965479078478226,0.41012781599832004,-0.28207060010289764,-0.18578491130301605,-0.7909285528568452,-1.403108320196835,0.4381174767888148
DLBAJ110,-1.2422088211249018,0.08002936937473916,-0.4733771480197347,-0.6243083125731301,-1.394953864878841,0.3774597993348166,1.0697312192027073,-0.0021130752889675294,-0.4061557549481379,-0.4841322240853419,-0.0026251752705560125,-0.6483199564552607,-0.8424344282395873,0.25002967225348227
DLBAJ111,-1.1964404129953443,-0.07028524378357508,2.1493460956184163,2.5680146381141578,-0.9257569074158587,-0.06028237161392254,2.0872034267575565,0.4564410357728212,-0.17833992854400443,-0.47835581030025576,-0.11234151378068437,-0.1696386546583609,-1.5975601279464573,0.36943880980274196
DLBAJ117,-1.2235252857186323,0.16373332655756173,1.0592607657868274,-0.03395112924448524,-0.6490718060925414,0.27148602193101545,0.5089937280740963,-0.6725955614263406,-0.405226999480373,-0.2287533606037457,-0.1590972652688629,-1.340007762344116,-0.6339843979595133,0.39963857358080035
DLBAJ118,-1.2184423945537999,0.17013115500770565,1.0373343014274508,5.9395827660153895,0.6146232872704637,4.643616113667391,2.594840164054567,0.9369359943392274,2.5515927014625723,-0.17347710834723654,-0.7946198164417785,-1.8972399499639852,6.238481210881236,-1.0309014743758869
DLBAJ119,-1.1964083240359686,0.2014236671303294,0.5804617668113751,0.507722207045811,-1.5217821362437556,0.2088844906271834,1.454737229373551,0.20416182896877402,-0.13574933447536827,-0.26337226209059644,0.08129315035701966,-0.42645271104591553,-0.9002534204460846,-0.9079210554463664
DLBAJ122,-1.2264319484340156,0.16565980352058718,0.22528463977105345,0.2126013261537901,0.030167028245535327,0.18649158138851826,-1.0015154939954347,-0.6826299312148799,-0.9200909508316346,-0.2722856457037106,0.08952198193482507,-1.1085173867616152,0.193777974973752,-0.6701735561918669
DLBAJ125,-1.2041438527587227,0.20848003880093524,2.2804516652535285,0.8780164776119797,-0.5672741345654047,-0.2842913376529245,-0.1538600558708699,-0.10295487475860343,-0.5545160022290326,-0.10783206518943719,0.2076335821276339,-0.6102118504255667,0.45643414047202646,-2.8793559682818946
DLBAJ127,-1.2193943172649018,0.16519478296592705,0.796947272486575,2.4464266725839234,-0.6268975750721365,0.9762241256289869,1.9847554084775032,0.11523608344975968,0.9965885380943406,-0.035702886124901884,-0.3857376164530292,-1.3343801297599374,1.7113751398736463,-0.4082594881858877
DLBAJ128,-1.22696880418689,0.1488971893153259,1.9507453892486184,1.280401276890579,-0.22351805212855128,1.3301990274045972,5.671709760406259,-6.165443976473741,-4.4842819580432645,3.712946387265484,3.2707471950535307,1.7708506714913683,2.0363451611845784,1.3516389779397093
DLBAJ129,-1.4670001903428853,0.507449396507958,0.18629509342813827,0.10327384205611062,-1.4769002421311228,-0.30858710565334496,-0.5427154504778674,0.11834224342531245,-0.5480357751716104,-0.23212203170843876,0.2699556706458162,0.4409833017621193,-0.442552898105424,-0.04971928797338665
DLBAJ130,-1.4794939893623835,0.5343701492600405,0.4045843234103032,0.469803058902215,-0.8154902543531704,-0.37064180293078314,-1.0913358427442443,-0.421733883282262,-0.6340475334188939,0.03903579252693339,0.2804066047032281,-0.15923035269478816,-0.34068025939390284,-0.33919729378669666
DLBAJ131,-1.4971667971738631,0.6024633638494767,5.183155259033212,2.1031753609571706,-0.6485601714964844,-1.2812207814902843,-1.785885322544,-0.6075347695409161,0.05489547110476198,0.82329381543383,0.2424314191308565,0.6772678113657611,-0.166827782232093,-1.618703336468338
DLBAJ136,-1.2050015981053366,0.20743007540137068,-2.197885988886233,2.1730845945493322,-0.7548215008311694,0.9001552244265889,1.8501254756643974,0.4622711356846002,0.5067003052028083,-0.28289036536023876,-0.05344430600300514,-0.7215023643826015,1.2196425386860388,-1.344381926999926
DLBAJ148,-1.432017254586341,0.788574523301785,0.8320855652269733,0.3442491114435886,-1.403381502628581,-0.1392105972991144,-0.010911836236925385,0.01260376014834634,-0.958397664758862,-0.5705289483122711,0.1749197982724013,-0.33021914383736845,-0.6534271032218946,-0.07001436924739199
DLBAJ149,-1.4352783883645759,0.7928876082470564,1.8626337803589952,3.240850724114019,-1.270769050780755,0.2957695043158507,1.5293457163710427,0.3065158992528285,0.21565392600943162,-0.13418403615097407,-0.011975929765394905,-0.5750295849554103,-0.06051239537019241,-0.6533612255801619
DLBAJ150,-1.4414558861714943,0.8075819489615574,1.508771817532225,0.7402316593503344,-1.1703926338904425,-0.4845824981472742,-0.7462770331372218,-0.0125295791077189,-0.9373498692090376,-0.3358689823675985,0.28697041029782994,0.007337177843304803,-0.24336236441186104,-0.8524700055361258
DLBAJ157,-1.5089949368500681,0.9581358920124197,1.0680043704207645,0.5332779130553916,-1.5606239178547134,-0.40170897607348865,-0.592645169269863,0.19060740265669812,-0.9986877334529313,-0.4763157458780283,0.3300013100261726,0.13749719471232583,-0.2992110453643184,-0.6442724589183071
DLBAJ158,-1.5167156897264118,0.950369250983284,1.6202739739205554,1.743537566946392,-1.8335213734437072,1.9213526444166233,1.751758293694569,0.3840723993619475,0.23256786482836456,-0.10148448867592397,0.20131594373349454,0.21229706434143014,-1.710010185340489,-0.047551743597161134
DLBAJ161,-1.6226188077227266,1.0737116425954194,0.9300620775829754,0.41507995021951183,-1.9796771771035768,0.09648161145554489,-0.8960326834241635,-1.8484636803769003,2.103482364525902,2.0428804762257453,-0.01180062633875756,0.34978468800021373,-1.2568803645060986,1.0645603337467082
DLBAJ182,-1.7764885021912011,1.2238461149743969,0.14239131210376488,-0.20287127967937127,-2.5743559514401646,0.15450683714383134,-0.04600173236828219,-0.26088684834715475,0.01260836949020583,0.25729919410469093,0.3787168821262102,-0.06576635164191193,-0.5380015096595012,-1.239703499044389
